recordingId,trackId,frame,trackLifetime,xCenter,yCenter,heading,width,length,xVelocity,yVelocity,xAcceleration,yAcceleration,lonVelocity,latVelocity,lonAcceleration,latAcceleration,traveledDistance,latLaneCenterOffset,laneWidth,laneletId,laneChange,lonLaneletPos,laneletLength,leadDHW,leadDV,leadTHW,leadTTC,leadId,rearId,leftLeadId,leftRearId,leftAlongsideId,rightLeadId,rightRearId,rightAlongsideId,odrRoadId,odrSectionNo,odrLaneId,originalTrackId
86,0,16175,62,228.7486,-195.7783,348.2433,2.5552,7.4397,19.5283,-4.0643,0.8068,-0.1943,19.9468,-0.0,0.8294,-0.0259,47.67,-0.80,3.38,1514,0,0.56,192.32,-1.0,-1000.0,-1.0,-1.0,-1,-1,761,776,773.0,-1,-1,,0,3,-4,770
86,0,16176,63,229.5303,-195.9415,348.2349,2.5552,7.4397,19.562,-4.0743,0.8148,-0.1818,19.9818,-0.0,0.8347,-0.0119,48.47,-0.78,3.38,1514,0,1.36,192.32,-1.0,-1000.0,-1.0,-1.0,-1,-1,761,776,773.0,-1,-1,,0,3,-4,770
86,0,16177,64,230.3135,-196.1052,348.2288,2.5552,7.4397,19.596,-4.0836,0.8222,-0.1685,20.017,-0.0,0.8393,0.0028,49.27,-0.77,3.39,1514,0,2.16,192.32,-1.0,-1000.0,-1.0,-1.0,-1,-1,761,776,773.0,-1,-1,,0,3,-4,770
86,0,16178,65,231.098,-196.2692,348.2249,2.5552,7.4397,19.6303,-4.0921,0.8291,-0.1543,20.0523,-0.0,0.8432,0.0181,50.07,-0.75,3.40,1514,0,2.96,192.32,-1.0,-1000.0,-1.0,-1.0,-1,-1,761,776,773.0,-1,-1,,0,3,-4,770
86,0,16179,66,231.8838,-196.4336,348.2235,2.5552,7.4397,19.6649,-4.0998,0.8354,-0.1396,20.0877,-0.0,0.8463,0.0339,50.88,-0.73,3.40,1514,0,3.77,192.32,-1.0,-1000.0,-1.0,-1.0,-1,-1,761,776,773.0,-1,-1,,0,3,-4,770
86,0,16180,67,232.6708,-196.5983,348.2246,2.5552,7.4397,19.6998,-4.1067,0.8411,-0.1242,20.1233,-0.0,0.8488,0.0501,51.68,-0.71,3.41,1514,0,4.57,192.32,-1.0,-1000.0,-1.0,-1.0,-1,-1,761,776,773.0,-1,-1,,0,3,-4,770
86,0,16181,68,233.4593,-196.7634,348.2285,2.5552,7.4397,19.735,-4.1126,0.8463,-0.1084,20.159,-0.0,0.8506,0.0665,52.49,-0.70,3.42,1514,0,5.38,192.32,-1.0,-1000.0,-1.0,-1.0,-1,-1,761,776,773.0,-1,-1,,0,3,-4,770
86,0,16182,69,234.2496,-196.9287,348.2349,2.5552,7.4397,19.7704,-4.1177,0.8507,-0.0922,20.1947,-0.0,0.8517,0.0832,53.29,-0.68,3.42,1514,0,6.18,192.32,-1.0,-1000.0,-1.0,-1.0,-1,-1,761,776,773.0,-1,-1,,0,3,-4,770
86,0,16183,70,235.0413,-197.0943,348.244,2.5552,7.4397,19.8059,-4.1218,0.8546,-0.0758,20.2302,-0.0,0.8522,0.0999,54.1,-0.67,3.43,1514,0,6.99,192.32,-1.0,-1000.0,-1.0,-1.0,-1,-1,761,776,773.0,-1,-1,,0,3,-4,770
86,0,16184,71,235.8343,-197.26,348.2559,2.5552,7.4397,19.8414,-4.1249,0.858,-0.0594,20.2657,-0.0,0.8521,0.1165,54.91,-0.66,3.44,1514,0,7.80,192.32,-1.0,-1000.0,-1.0,-1.0,-1,-1,761,776,773.0,-1,-1,,0,3,-4,770
